rank,shobi_code,perfume,gender,season,main_notes,note_count,source_status,exception
1,305-KAY EL,Vanilla 28,unisex,winter,Brown Sugar|Tonka Bean|Amber|Amberwood|Vanilla Orchid,5,source-locked,
2,1508-KIL WP,Angels' Share,unisex,winter,Cognac|Cinnamon|Vanilla|Praline|Tonka Bean,5,source-locked,
3,451-BYR WP,Blanche,female,spring,Aldehydes|Musk|Peony|Violet|African Orange Flower,5,source-locked,
4,374-TMFO EL,Tobacco Vanille,unisex,winter,Tobacco Leaf|Vanilla|Spicy Notes|Dried Fruits|Cacao,5,source-locked,
5,1899-ZARK EL,The Muse,female,spring,Cotton Flower|White Musk|White Oud,3,source-locked,composition-has-3-published-notes
6,111-BAC N,Baccarat Rouge 540,unisex,winter,Amberwood|Saffron|Ambergris|Fir Resin|Cedar,5,source-locked,
7,220-CRD EL,Virgin Island Water,unisex,summer,Coconut|Lime|White Rum|Sugar Cane|White Bergamot,5,source-locked,
8,350-TMFO EL,Lost Cherry,unisex,fall,Sour Cherry|Bitter Almond|Black Cherry|Vanilla|Tonka Bean,5,source-locked,
9,2216-DOL WP,Devotion,female,fall,Candied Lemon|Vanilla|Panacotta|Orange Blossom|Rum,5,source-locked,
10,2129-SOL EL,Cheirosa '62,female,summer,Caramel|Vanilla|Pistachio|Almond|Salt,5,source-locked,
11,371-TMFO EL,Soleil Blanc,unisex,summer,Pistachio|Bergamot|Cardamom|Pink Pepper|Tuberose,5,source-locked,
12,449-BYR WP,Bal d'Afrique,unisex,spring,Bergamot|African Marigold|Buchu|Violet|Cyclamen,5,source-locked,
13,204-CRD EL,Aventus,male,spring,Bergamot|Black Currant|Apple|Lemon|Pink Pepper,5,source-locked,
14,765-KIL WP,Love Don't Be Shy,female,winter,Neroli|Bergamot|Pink Pepper|Coriander|Orange Blossom,5,source-locked,
15,994-ZAD WP,This Is Her,female,winter,Pink Pepper|Jasmine Sambac|Silkwood Blossom|Whipped Cream|Vanilla,5,source-locked,
16,2371-MATIE EL,Vanilla Powder,unisex,winter,Coconut Powder|Heliotrope|Madagascar Vanilla|Vanilla Absolute|White Musk,5,source-locked,
17,2206-GIA LUX,Bianco Latte,unisex,winter,Caramel|Coumarin|Honey|Vanilla|White Musk,5,source-locked,
18,179-XER N,XJ 1861 Naxos,unisex,fall,Lavender|Bergamot|Lemon|Honey|Cinnamon,5,source-locked,
19,229-DIP EL,Philosykos Eau de Parfum,unisex,summer,Fig Leaf|Fig|Green Notes|Coconut|Fig Tree,5,source-locked,
20,2162-BRB WP,Goddess,female,fall,Vanilla|Lavender|Cacao|Ginger|Vanilla Caviar,5,source-locked,
21,1644-DRC M,Sauvage Elixir,male,fall,Nutmeg|Cinnamon|Cardamom|Grapefruit|Lavender,5,source-locked,
22,2398-FRE LUX,Acne Studios,unisex,spring,Aldehydes|Mandarin|Bergamot|Peach|Orange Blossom,5,source-locked,
23,401-ARIA WP,Cloud,female,fall,Lavender|Pear|Bergamot|Whipped Cream|Coconut,5,source-locked,
24,1660-ESCE EL,Molecule 01,unisex,spring,Iso E Super,1,source-locked,composition-has-1-published-note
25,1067-CHA,Bleu de Chanel,male,spring,Grapefruit|Lemon|Mint|Pink Pepper|Ginger,5,source-locked,
26,485-CAR WP,Good Girl,female,winter,Almond|Coffee|Bergamot|Lemon|Tuberose,5,source-locked,
27,1499-BYR EL,Mojave Ghost,unisex,spring,Sapodilla|Ambrette|Magnolia|Violet|Sandalwood,5,source-locked,
28,1520-YZLO W,Libre Intense,female,fall,Lavender|Mandarin Orange|Bergamot|Tunisian Orange Blossom|Jasmine Sambac,5,source-locked,
29,1735-XER N,Italica,unisex,winter,Milk|Almond|Saffron|Toffee|Bourbon Vanilla,5,source-locked,
30,152-PARF N,Delina Exclusif,female,winter,Litchi|Pear|Bergamot|Turkish Rose|Agarwood (Oud),5,source-locked,
31,132-LTN N,Ombre Nomade,unisex,winter,Agarwood (Oud)|Incense|Rose|Raspberry|Birch,5,source-locked,
32,1498-BYR EL,Gypsy Water,unisex,spring,Juniper|Lemon|Bergamot|Pepper|Pine Needles,5,source-locked,
33,1764-GUR W,Aqua Allegoria Coconut Fizz,unisex,summer,Coconut Nectar|Bergamot|Water Fruit|Freesia|Sandalwood,5,source-locked,
34,1919-PRA WP,Prada Paradoxe,female,fall,Pear|Tangerine|Bergamot|Orange Blossom|Neroli Essence,5,source-locked,
35,131-LEL N,Santal 33,unisex,fall,Sandalwood|Leather|Papyrus|Virginia Cedar|Cardamom,5,source-locked,
36,848-NRO WP,Pure Musc For Her,female,spring,Musk|Jasmine|Ylang-Ylang|Orange Blossom|Cashmeran,5,source-locked,
37,2348-AMG,Guidance,unisex,fall,Pear|Hazelnut|Olibanum|Osmanthus|Rose,5,source-locked,
38,303-JOM EL,Wood Sage & Sea Salt,unisex,summer,Sea Salt|Sage|Grapefruit|Ambrette (Musk Mallow)|Seaweed,5,source-locked,
39,2155-KAY EL,Yum Pistachio Gelato 33,unisex,spring,Pistachio|Ice Cream|Bergamot|Hazelnut|Rum,5,source-locked,
40,750-KEN W,Flower by Kenzo L'Elixir,female,fall,Raspberry|Mandarin Orange|Bulgarian Rose|Orange Blossom|Praline,5,source-locked,
